,A,M,V/I
110,-125.0,-29.0,0.01696888100137656
111,-125.0,-27.0,0.01661490138216721
112,-125.0,-25.0,0.016275351572984934
113,-125.0,-23.0,0.015949239985669918
114,-125.0,-21.0,0.015635616739018653
115,-125.0,-19.0,0.015333543009883616
116,-125.0,-17.0,0.0150420407375839
117,-125.0,-15.0,0.014759997629734178
118,-125.0,-13.0,0.014485971809303892
119,-125.0,-11.0,0.014217789745816015
120,-125.0,-9.0,0.013951865529417067
121,-125.0,-7.0,0.013683083684411719
122,-125.0,-5.0,0.013409790514074711
123,-125.0,-3.0,0.013144322307058915
124,-125.0,-1.0,0.01290285440603989
125,-125.0,1.0,0.012688702555441564
126,-123.0,-121.0,7.090375489887352
127,-123.0,-119.0,3.0579788043826577
128,-123.0,-117.0,1.7541373619742477
129,-123.0,-115.0,1.12394324962048
130,-123.0,-113.0,0.7651786995369648
131,-123.0,-111.0,0.5427277525082274
132,-123.0,-109.0,0.3973012008585216
133,-123.0,-107.0,0.29872603126759967
134,-123.0,-105.0,0.2301216684045223
135,-123.0,-103.0,0.18138603108197998
136,-123.0,-101.0,0.14616662454811485
137,-123.0,-99.0,0.12032094413336966
138,-123.0,-97.0,0.10107487884640849
139,-123.0,-95.0,0.08653389633488509
140,-123.0,-93.0,0.0753847878174706
141,-123.0,-91.0,0.06670653278870041
142,-123.0,-89.0,0.05984680224609282
143,-123.0,-87.0,0.05433954225750821
144,-123.0,-85.0,0.04984906986314558
145,-123.0,-83.0,0.04613168119723475
146,-123.0,-81.0,0.04300902982797616
147,-123.0,-79.0,0.040349520485680496
148,-123.0,-77.0,0.03805521668183735
149,-123.0,-75.0,0.03605257214688082
150,-123.0,-73.0,0.034285831909106695
151,-123.0,-71.0,0.032712308132834614
152,-123.0,-69.0,0.03129897950706265
153,-123.0,-67.0,0.030020029714990803
154,-123.0,-65.0,0.028855055428907952
155,-123.0,-63.0,0.027787753944891823
156,-123.0,-61.0,0.026804956092441438
157,-123.0,-59.0,0.025895908925368402
158,-123.0,-57.0,0.025051740032262886
159,-123.0,-55.0,0.024265054602175463
160,-123.0,-53.0,0.023529630060206044
161,-123.0,-51.0,0.022840182822384487
162,-123.0,-49.0,0.022192188674027075
163,-123.0,-47.0,0.021581743263846598
164,-123.0,-45.0,0.02100545279740737
165,-123.0,-43.0,0.020460347608819124
166,-123.0,-41.0,0.01994381317150877
167,-123.0,-39.0,0.019453534477299084
168,-123.0,-37.0,0.018987450709176498
169,-123.0,-35.0,0.018543717856645364
170,-123.0,-33.0,0.01812067744255303
171,-123.0,-31.0,0.017716829892165067
172,-123.0,-29.0,0.01733081130313452
173,-123.0,-27.0,0.016961372467234614
174,-123.0,-25.0,0.016607358906585594
175,-123.0,-23.0,0.0162676902830653
176,-123.0,-21.0,0.01594133647267342
177,-123.0,-19.0,0.015627285012675362
178,-123.0,-17.0,0.015324488473229723
179,-123.0,-15.0,0.015031765886999324
180,-123.0,-13.0,0.014747600786152643
181,-123.0,-11.0,0.01446972600168528
182,-123.0,-9.0,0.014194420437858962
183,-123.0,-7.0,0.013916384836343585
184,-123.0,-5.0,0.013633884232373245
185,-123.0,-3.0,0.013359610183492843
186,-123.0,-1.0,0.013110220648242922
187,-123.0,1.0,0.012889115901915441
188,-123.0,3.0,0.012691194677505471
189,-121.0,-119.0,7.090396520076192
190,-121.0,-117.0,3.0579880044348164
191,-121.0,-115.0,1.754138304257878
192,-121.0,-113.0,1.123938516347374
193,-121.0,-111.0,0.7651701204355548
194,-121.0,-109.0,0.542716611507942
195,-121.0,-107.0,0.39728839466248533
196,-121.0,-105.0,0.29871218457281334
197,-121.0,-103.0,0.2301072155612185
198,-121.0,-101.0,0.18137127333624828
199,-121.0,-99.0,0.14615177000771476
200,-121.0,-97.0,0.12030613565693038
201,-121.0,-95.0,0.10106021352909522
202,-121.0,-93.0,0.08651943915030921
203,-121.0,-91.0,0.0753705811906771
204,-121.0,-89.0,0.06669260332969668
205,-121.0,-87.0,0.059833165496613355
206,-121.0,-85.0,0.05432620604373081
207,-121.0,-83.0,0.04983603666748601
208,-121.0,-81.0,0.046118949838011854
209,-121.0,-79.0,0.04299659664942261
210,-121.0,-77.0,0.04033738020066199
211,-121.0,-75.0,0.038043362967647265
212,-121.0,-73.0,0.0360409980650383
213,-121.0,-71.0,0.0342745301993756
214,-121.0,-69.0,0.032701271417048004
215,-121.0,-67.0,0.03128820042794779
216,-121.0,-65.0,0.030009501027759237
217,-121.0,-63.0,0.0288447700580027
218,-121.0,-61.0,0.027777705014328722
219,-121.0,-59.0,0.02679513693518364
220,-121.0,-57.0,0.02588631307478485
221,-121.0,-55.0,0.025042361196675016
222,-121.0,-53.0,0.024255886621563333
223,-121.0,-51.0,0.02352066684211029
224,-121.0,-49.0,0.022831418251678757
225,-121.0,-47.0,0.02218361648827928
226,-121.0,-45.0,0.021573356882096113
227,-121.0,-43.0,0.020997245084895824
228,-121.0,-41.0,0.020452310552867056
229,-121.0,-39.0,0.01993593743336346
230,-121.0,-37.0,0.019445808769908528
231,-121.0,-35.0,0.01897986092909214
232,-121.0,-33.0,0.018536245865559707
233,-121.0,-31.0,0.01811329934291342
234,-121.0,-29.0,0.01770951355726364
235,-121.0,-27.0,0.01732351277432037
236,-121.0,-25.0,0.01695403055103749
237,-121.0,-23.0,0.0165998867340331
238,-121.0,-21.0,0.016259961354871018
239,-121.0,-19.0,0.0159331598979352
240,-121.0,-17.0,0.01561835808053191
241,-121.0,-15.0,0.015314299415035138
242,-121.0,-13.0,0.01501938621452992
243,-121.0,-11.0,0.01473125052072518
244,-121.0,-9.0,0.014446027140102152
245,-121.0,-7.0,0.014158221773373298
246,-121.0,-5.0,0.013866011844099357
247,-121.0,-3.0,0.013582459784996639
248,-121.0,-1.0,0.013324728716296376
249,-121.0,1.0,0.013096306345785406
250,-121.0,3.0,0.012891914451688233
251,-121.0,5.0,0.012704262182988577
252,-119.0,-117.0,7.090397868831021
253,-119.0,-115.0,3.0579836310348307
254,-119.0,-113.0,1.7541300231201413
255,-119.0,-111.0,1.1239276201266442
256,-119.0,-109.0,0.7651575190064293
257,-119.0,-107.0,0.5427029411473948
258,-119.0,-105.0,0.39727409847216805
259,-119.0,-103.0,0.2986975699822802
260,-119.0,-101.0,0.23009249488728784
261,-119.0,-99.0,0.18135659223077993
262,-119.0,-97.0,0.14613722737957177
263,-119.0,-95.0,0.12029179763029584
264,-119.0,-93.0,0.10104612323782024
265,-119.0,-91.0,0.08650562362329642
266,-119.0,-89.0,0.07535705620155668
267,-119.0,-87.0,0.06667937681865074
268,-119.0,-85.0,0.05982023998818893
269,-119.0,-83.0,0.054313580356867334
270,-119.0,-81.0,0.04982370712533634
271,-119.0,-79.0,0.0461069111234136
272,-119.0,-77.0,0.04298484240877505
273,-119.0,-75.0,0.04032590346877443
274,-119.0,-73.0,0.038032156464908096
275,-119.0,-71.0,0.03603005440328878
276,-119.0,-69.0,0.034263842022266205
277,-119.0,-67.0,0.032690831493097
278,-119.0,-65.0,0.03127800170908674
279,-119.0,-63.0,0.029999536682187772
280,-119.0,-61.0,0.02883503348321773
281,-119.0,-59.0,0.027768189833901363
282,-119.0,-57.0,0.02678583698096632
283,-119.0,-55.0,0.02587722235453253
284,-119.0,-53.0,0.02503347384536872
285,-119.0,-51.0,0.024247196832842984
286,-119.0,-49.0,0.023512168773948985
287,-119.0,-47.0,0.022823105897503176
288,-119.0,-45.0,0.022175483500822768
289,-119.0,-43.0,0.021565396331893805
290,-119.0,-41.0,0.020989449127825167
291,-119.0,-39.0,0.02044466997051191
292,-119.0,-37.0,0.01992844099471517
293,-119.0,-35.0,0.019438442340564396
294,-119.0,-33.0,0.01897260622048838
295,-119.0,-31.0,0.01852907866423022
296,-119.0,-29.0,0.01810618697323262
297,-119.0,-27.0,0.017702411178897724
298,-119.0,-25.0,0.017316357827087563
299,-119.0,-23.0,0.016946734071370477
300,-119.0,-21.0,0.016592318988962088
301,-119.0,-19.0,0.016251926332132693
302,-119.0,-17.0,0.015924346407487987
303,-119.0,-15.0,0.015608239434406689
304,-119.0,-13.0,0.015301919050086677
305,-119.0,-11.0,0.01500290856092294
306,-119.0,-9.0,0.014707188902247904
307,-119.0,-7.0,0.014409058482766232
308,-119.0,-5.0,0.014106600100029731
309,-119.0,-3.0,0.013813263482723805
310,-119.0,-1.0,0.013546740799407436
311,-119.0,1.0,0.0133106101558529
312,-119.0,3.0,0.013099406283968495
313,-119.0,5.0,0.012905594446894828
314,-119.0,7.0,0.01272230096341792
315,-117.0,-115.0,7.090389718179139
316,-117.0,-113.0,3.057972859695459
317,-117.0,-111.0,1.7541175361307362
318,-117.0,-109.0,1.1239140553804177
319,-117.0,-107.0,0.7651433223849344
320,-117.0,-105.0,0.5426884224404591
321,-117.0,-103.0,0.39725947163695835
322,-117.0,-101.0,0.2986829816797882
323,-117.0,-99.0,0.2300780445721982
324,-117.0,-97.0,0.18134234626155543
325,-117.0,-95.0,0.14612322892760957
326,-117.0,-93.0,0.12027807364562301
327,-117.0,-91.0,0.10103268935245785
328,-117.0,-89.0,0.08649248760777485
329,-117.0,-87.0,0.07534422040440272
330,-117.0,-85.0,0.0666668398894015
331,-117.0,-83.0,0.05980799809452496
332,-117.0,-81.0,0.05430162804377181
333,-117.0,-79.0,0.04981203792042012
334,-117.0,-77.0,0.046095517961901374
335,-117.0,-75.0,0.04297371793012854
336,-117.0,-73.0,0.04031504022176683
337,-117.0,-71.0,0.03802154704723896
338,-117.0,-69.0,0.036019691554202496
339,-117.0,-67.0,0.034253718681177804
340,-117.0,-65.0,0.03268094083327713
341,-117.0,-63.0,0.03126833715254459
342,-117.0,-61.0,0.02999009189967678
343,-117.0,-59.0,0.02882580238152265
344,-117.0,-57.0,0.027759166531043843
345,-117.0,-55.0,0.026777015768524016
346,-117.0,-53.0,0.025868597644742176
347,-117.0,-51.0,0.025025040098908373
348,-117.0,-49.0,0.024238948460965387
349,-117.0,-47.0,0.02350410000571238
350,-117.0,-45.0,0.02281521059887973
351,-117.0,-43.0,0.02216775492698188
352,-117.0,-41.0,0.02155782678627355
353,-117.0,-39.0,0.02098202949070401
354,-117.0,-37.0,0.020437389044111347
355,-117.0,-35.0,0.019921284588881275
356,-117.0,-33.0,0.019431391988483725
357,-117.0,-31.0,0.01896563735979958
358,-117.0,-29.0,0.018522158029753526
359,-117.0,-27.0,0.01809926879061512
360,-117.0,-25.0,0.017695431450862074
361,-117.0,-23.0,0.017309225396571808
362,-117.0,-21.0,0.0169393158258937
363,-117.0,-19.0,0.016584413567268443
364,-117.0,-17.0,0.016243213684494596
365,-117.0,-15.0,0.015914284239457902
366,-117.0,-13.0,0.01559584177006455
367,-117.0,-11.0,0.015285291984641229
368,-117.0,-9.0,0.014978451195498699
369,-117.0,-7.0,0.01466939715315084
370,-117.0,-5.0,0.014356110251721548
371,-117.0,-3.0,0.014052444793523657
372,-117.0,-1.0,0.013776647320646214
373,-117.0,1.0,0.013532389356919604
374,-117.0,3.0,0.01331400770025067
375,-117.0,5.0,0.013113710419236178
376,-117.0,7.0,0.01292439445685546
377,-117.0,9.0,0.012740873868675338
378,-115.0,-113.0,7.090377282337203
379,-115.0,-111.0,3.057959351088151
380,-115.0,-109.0,1.754103398517171
381,-115.0,-107.0,1.123899598175101
382,-115.0,-105.0,0.7651287595202014
383,-115.0,-103.0,0.5426739004983543
384,-115.0,-101.0,0.3972450898691018
385,-115.0,-99.0,0.2986688061442897
386,-115.0,-97.0,0.2300641180860979
387,-115.0,-95.0,0.1813286954027442
388,-115.0,-93.0,0.14610986896315337
389,-115.0,-91.0,0.12026501200350931
390,-115.0,-89.0,0.1010199280692318
391,-115.0,-87.0,0.08648002505496437
392,-115.0,-85.0,0.07533205250608734
393,-115.0,-83.0,0.06665496098006266
394,-115.0,-81.0,0.05979640152213851
395,-115.0,-79.0,0.054290306592178025
396,-115.0,-77.0,0.04980098410329729
397,-115.0,-75.0,0.0460847242253863
398,-115.0,-73.0,0.04296317679033114
399,-115.0,-71.0,0.04030474435576623
400,-115.0,-69.0,0.0380114893506816
401,-115.0,-67.0,0.0360098651746868
402,-115.0,-65.0,0.03424411703373701
403,-115.0,-63.0,0.03267155760212267
404,-115.0,-61.0,0.031259166281559926
405,-115.0,-59.0,0.029981127572767424
406,-115.0,-57.0,0.02881703899267412
407,-115.0,-55.0,0.027750598642679633
408,-115.0,-53.0,0.026768638055349618
409,-115.0,-51.0,0.0258604048185532
410,-115.0,-49.0,0.025017026807639738
411,-115.0,-47.0,0.024231109152313086
412,-115.0,-45.0,0.02349642874162689
413,-115.0,-43.0,0.022807700801625388
414,-115.0,-41.0,0.022160399029579045
415,-115.0,-39.0,0.02155061574894595
416,-115.0,-37.0,0.020974952128833414
417,-115.0,-35.0,0.020430431089560226
418,-115.0,-33.0,0.01991442737093774
419,-115.0,-31.0,0.019424610564970787
420,-115.0,-29.0,0.018958897837025195
421,-115.0,-27.0,0.01851541364814029
422,-115.0,-25.0,0.018092454045706936
423,-115.0,-23.0,0.01768845289216211
424,-115.0,-21.0,0.01730194638289255
425,-115.0,-19.0,0.016931529411633093
426,-115.0,-17.0,0.01657579044601167
427,-115.0,-15.0,0.016233195232825848
428,-115.0,-13.0,0.01590185365321891
429,-115.0,-11.0,0.015579043892471677
430,-115.0,-9.0,0.015260405771616244
431,-115.0,-7.0,0.014939781759645176
432,-115.0,-5.0,0.01461504119841384
433,-115.0,-3.0,0.014300461138894705
434,-115.0,-1.0,0.014014869363769215
435,-115.0,1.0,0.013762033876649277
436,-115.0,3.0,0.013536081774026269
437,-115.0,5.0,0.013328949620616821
438,-115.0,7.0,0.013133292520744806
439,-115.0,9.0,0.012943748201344012
440,-115.0,11.0,0.012757325219105277
441,-113.0,-111.0,7.09036317224986
442,-113.0,-109.0,3.0579449283469593
443,-113.0,-107.0,1.7540888756880308
444,-113.0,-105.0,1.1238851209951788
445,-113.0,-103.0,0.7651144265547614
446,-113.0,-101.0,0.5426597771745469
447,-113.0,-99.0,0.39723121840975817
448,-113.0,-97.0,0.2986552125737989
449,-113.0,-95.0,0.230050817165256
450,-113.0,-93.0,0.18131569410430748
451,-113.0,-91.0,0.14609716892008084
452,-113.0,-89.0,0.12025261123359532
453,-113.0,-87.0,0.10100782218940037
454,-113.0,-85.0,0.08646820813509687
455,-113.0,-83.0,0.07532051766785706
456,-113.0,-81.0,0.0666437008151396
457,-113.0,-79.0,0.05978540838229547
458,-113.0,-77.0,0.05427957278846511
459,-113.0,-75.0,0.049790502040609044
460,-113.0,-73.0,0.046074486491065145
461,-113.0,-71.0,0.04295317620998476
462,-113.0,-69.0,0.04029497402555683
463,-113.0,-67.0,0.038001942652504055
464,-113.0,-65.0,0.03600053577855575
465,-113.0,-63.0,0.034234998890103736
466,-113.0,-61.0,0.03266264492555995
467,-113.0,-59.0,0.03125045352614239
468,-113.0,-57.0,0.02997260939841132
469,-113.0,-55.0,0.02880871022056729
470,-113.0,-53.0,0.027742454196604597
471,-113.0,-51.0,0.026760672884031618
472,-113.0,-49.0,0.02585261379196426
473,-113.0,-47.0,0.025009404577206386
474,-113.0,-45.0,0.024223649960861446
475,-113.0,-43.0,0.02348912616315912
476,-113.0,-41.0,0.022800547382935837
477,-113.0,-39.0,0.022153385794213942
478,-113.0,-37.0,0.021543731507430428
479,-113.0,-35.0,0.020968182514758585
480,-113.0,-33.0,0.020423757204457597
481,-113.0,-31.0,0.019907823863464593
482,-113.0,-29.0,0.0194180428752114
483,-113.0,-27.0,0.018952318169726236
484,-113.0,-25.0,0.018508754921553495
485,-113.0,-23.0,0.018085620414613146
486,-113.0,-21.0,0.01768130403376915
487,-113.0,-19.0,0.01729426952368288
488,-113.0,-17.0,0.016922985574032025
489,-113.0,-15.0,0.01656580391754405
490,-113.0,-13.0,0.016220716882460667
491,-113.0,-11.0,0.015884863968248508
492,-113.0,-9.0,0.015553695356421742
493,-113.0,-7.0,0.015220802188141504
494,-113.0,-5.0,0.014883933104933082
495,-113.0,-3.0,0.014557807016006612
496,-113.0,-1.0,0.014261861462231542
497,-113.0,1.0,0.013999964012808619
498,-113.0,3.0,0.013766019321402855
499,-113.0,5.0,0.013551677039239426
500,-113.0,7.0,0.013349337035186504
501,-113.0,9.0,0.013153450916816625
502,-113.0,11.0,0.012960919370476835
503,-113.0,13.0,0.012770611062436446
504,-111.0,-109.0,7.0903486687362545
505,-111.0,-107.0,3.0579304770914244
506,-111.0,-105.0,1.7540745741657977
507,-111.0,-103.0,1.1238710337536166
508,-111.0,-101.0,0.7651005950505545
509,-111.0,-99.0,0.5426462267494219
510,-111.0,-97.0,0.39721796321575176
511,-111.0,-95.0,0.29864225904423114
512,-111.0,-93.0,0.23003816645871783
513,-111.0,-91.0,0.18130334382438953
514,-111.0,-89.0,0.14608511432424737
515,-111.0,-87.0,0.12024084608141963
516,-111.0,-85.0,0.10099633933594057
517,-111.0,-83.0,0.08645699994398776
518,-111.0,-81.0,0.07530957629677171
519,-111.0,-79.0,0.06663301841085575
520,-111.0,-77.0,0.05977497721172505
521,-111.0,-75.0,0.054269385324309194
522,-111.0,-73.0,0.049780551014835514
523,-111.0,-71.0,0.04606476492550198
524,-111.0,-69.0,0.04294367743050666
525,-111.0,-67.0,0.04028569166428568
526,-111.0,-65.0,0.03799287064090124
527,-111.0,-63.0,0.03599166833307983
528,-111.0,-61.0,0.034226330491102
529,-111.0,-59.0,0.03265417028914655
530,-111.0,-57.0,0.03124216756788493
531,-111.0,-55.0,0.02996450718660002
532,-111.0,-53.0,0.028800786915560782
533,-111.0,-51.0,0.027734704971090124
534,-111.0,-49.0,0.02675309281681925
535,-111.0,-47.0,0.025845197724899224
536,-111.0,-45.0,0.025002146920576472
537,-111.0,-43.0,0.024216544426789176
538,-111.0,-41.0,0.02348216539816176
539,-111.0,-39.0,0.02279372245900571
540,-111.0,-37.0,0.022146685500710035
541,-111.0,-35.0,0.021537141361020806
542,-111.0,-33.0,0.020961683366881596
543,-111.0,-31.0,0.020417323266598016
544,-111.0,-29.0,0.019901419872835835
545,-111.0,-27.0,0.019411619951050132
546,-111.0,-25.0,0.018945807582754423
547,-111.0,-23.0,0.01850205832912809
548,-111.0,-21.0,0.0180785936556487
549,-111.0,-19.0,0.017673728254807813
550,-111.0,-17.0,0.017285795643313437
551,-111.0,-15.0,0.016913019990933746
552,-111.0,-13.0,0.01655326358636839
553,-111.0,-11.0,0.016203514629274197
554,-111.0,-9.0,0.015859019037893142
555,-111.0,-7.0,0.015513098961331323
556,-111.0,-5.0,0.015163371541830116
557,-111.0,-3.0,0.014825017622650354
558,-111.0,-1.0,0.014518114784527927
559,-111.0,1.0,0.01424663324866085
560,-111.0,3.0,0.014004241403773222
561,-111.0,5.0,0.01378228536610418
562,-111.0,7.0,0.01357289534607042
563,-111.0,9.0,0.013370326287140945
564,-111.0,11.0,0.013171364588811118
565,-111.0,13.0,0.01297482956608736
566,-111.0,15.0,0.012780697664641846
567,-109.0,-107.0,7.090334382634781
568,-109.0,-105.0,3.057916411055258
569,-109.0,-103.0,1.7540607687235734
570,-109.0,-101.0,1.123857513448686
571,-109.0,-99.0,0.7650873733354286
572,-109.0,-97.0,0.542633309442758
573,-109.0,-95.0,0.39720535093749687
574,-109.0,-93.0,0.2986299489279045
575,-109.0,-91.0,0.23002615335324889
576,-109.0,-89.0,0.1812916211356171
577,-109.0,-87.0,0.14607367460195686
578,-109.0,-85.0,0.12022968142660292
579,-109.0,-83.0,0.10098544168100627
580,-109.0,-81.0,0.08644636124318612
581,-109.0,-79.0,0.07529918865319893
582,-109.0,-77.0,0.06662287415869615
583,-109.0,-75.0,0.05976506896692373
584,-109.0,-73.0,0.05425970601297445
585,-109.0,-71.0,0.04977109388587793
586,-109.0,-69.0,0.046055523551989636
587,-109.0,-67.0,0.042934645702717156
588,-109.0,-65.0,0.04027686377629035
589,-109.0,-63.0,0.03798424107159351
590,-109.0,-61.0,0.03598323182175222
591,-109.0,-59.0,0.03421808200689762
592,-109.0,-57.0,0.032646104992871045
593,-109.0,-55.0,0.031234280763672476
594,-109.0,-53.0,0.02995679425967234
595,-109.0,-51.0,0.028793243250659635
596,-109.0,-49.0,0.02772732584391486
597,-109.0,-47.0,0.0267458732477026
598,-109.0,-45.0,0.025838132279643492
599,-109.0,-43.0,0.024995229437327002
600,-109.0,-41.0,0.02420976763928228
601,-109.0,-39.0,0.023475520413511655
602,-109.0,-37.0,0.02278719803063055
603,-109.0,-35.0,0.022140267011193912
604,-109.0,-33.0,0.021530809390781693
605,-109.0,-31.0,0.020955411663495502
606,-109.0,-29.0,0.02041107582879798
607,-109.0,-27.0,0.019895146685157468
608,-109.0,-25.0,0.01940525056640414
609,-109.0,-23.0,0.018939241057083715
610,-109.0,-21.0,0.018495146502702828
611,-109.0,-19.0,0.01807111133459058
612,-109.0,-17.0,0.017665315802504605
613,-109.0,-15.0,0.01727584072821771
614,-109.0,-13.0,0.016900403971430035
615,-109.0,-11.0,0.016535828105309413
616,-109.0,-9.0,0.01617713845008858
617,-109.0,-7.0,0.015817368649942088
618,-109.0,-5.0,0.015453992216837235
619,-109.0,-3.0,0.015102672993367587
620,-109.0,-1.0,0.01478416076336521
621,-109.0,1.0,0.014502531455972498
622,-109.0,3.0,0.014251202170904871
623,-109.0,5.0,0.014021197530641499
624,-109.0,7.0,0.013804362534716483
625,-109.0,9.0,0.013594744087297956
626,-109.0,11.0,0.01338900734989214
627,-109.0,13.0,0.013185918753504151
628,-109.0,15.0,0.01298544083168295
629,-109.0,17.0,0.012788004765642146
630,-107.0,-105.0,7.090320590060168
631,-107.0,-103.0,3.057902908557769
632,-107.0,-101.0,1.754047568958402
633,-107.0,-99.0,1.123844621540695
634,-107.0,-97.0,0.7650747892989296
635,-107.0,-95.0,0.5426210298831444
636,-107.0,-93.0,0.39719337024422896
637,-107.0,-91.0,0.29861826010806736
638,-107.0,-89.0,0.23001474861135784
639,-107.0,-87.0,0.1812804922743274
640,-107.0,-85.0,0.1460628132964113
641,-107.0,-83.0,0.12021907940968282
642,-107.0,-81.0,0.1009750908658297
643,-107.0,-79.0,0.0864362538014864
644,-107.0,-77.0,0.07528931706275388
645,-107.0,-75.0,0.06661323122909224
646,-107.0,-73.0,0.059755647850163525
647,-107.0,-71.0,0.05425050020343567
648,-107.0,-69.0,0.049762097212665515
649,-107.0,-67.0,0.04604673016562327
650,-107.0,-65.0,0.04292605005723446
651,-107.0,-63.0,0.040268460607122664
652,-107.0,-61.0,0.03797602536890342
653,-107.0,-59.0,0.03597519879823906
654,-107.0,-57.0,0.03421022705829764
655,-107.0,-55.0,0.03263842364842015
656,-107.0,-53.0,0.031226768622553795
657,-107.0,-51.0,0.029949446907797064
658,-107.0,-49.0,0.02878605614984025
659,-107.0,-47.0,0.027720294182319104
660,-107.0,-45.0,0.02673899173605306
661,-107.0,-43.0,0.025831394871414858
662,-107.0,-41.0,0.02498862894240831
663,-107.0,-39.0,0.024203295188041648
664,-107.0,-37.0,0.023469164710111623
665,-107.0,-35.0,0.022780944307854618
666,-107.0,-33.0,0.022134095558912277
667,-107.0,-31.0,0.021524693467232826
668,-107.0,-29.0,0.020949314494454425
