,A,B,M,V/I
101,-125.0,-123.0,-43.0,-0.0005082392128788332
102,-125.0,-123.0,-41.0,-0.0004821512868879996
103,-125.0,-123.0,-39.0,-0.0004581128078931969
104,-125.0,-123.0,-37.0,-0.0004359042383211102
105,-125.0,-123.0,-35.0,-0.0004153361264269788
106,-125.0,-123.0,-33.0,-0.0003962439716154488
107,-125.0,-123.0,-31.0,-0.0003784840981794352
108,-125.0,-123.0,-29.0,-0.0003619303017579588
109,-125.0,-123.0,-27.0,-0.0003464710850674055
110,-125.0,-123.0,-25.0,-0.00033200733360065973
111,-125.0,-123.0,-23.0,-0.000318450297395384
112,-125.0,-123.0,-21.0,-0.0003057197336547683
113,-125.0,-123.0,-19.0,-0.0002937420027917456
114,-125.0,-123.0,-17.0,-0.0002824477356458237
115,-125.0,-123.0,-15.0,-0.0002717682572651453
116,-125.0,-123.0,-13.0,-0.00026162897684875105
117,-125.0,-123.0,-11.0,-0.0002519362558692662
118,-125.0,-123.0,-9.0,-0.00024255490844189535
119,-125.0,-123.0,-7.0,-0.0002333011519318664
120,-125.0,-123.0,-5.0,-0.00022409371829853336
121,-125.0,-123.0,-3.0,-0.00021528787643392867
122,-125.0,-123.0,-1.0,-0.00020736624220303243
123,-125.0,-123.0,1.0,-0.00020041334647387735
124,-123.0,-121.0,-119.0,-4.032417715693534
125,-123.0,-121.0,-117.0,-1.3038506424605687
126,-123.0,-121.0,-115.0,-0.630195054637398
127,-123.0,-121.0,-113.0,-0.35875981681040925
128,-123.0,-121.0,-111.0,-0.2224423679273274
129,-123.0,-121.0,-109.0,-0.14541541064942043
130,-123.0,-121.0,-107.0,-0.09856236339488567
131,-123.0,-121.0,-105.0,-0.06859051616829104
132,-123.0,-121.0,-103.0,-0.04872118447923851
133,-123.0,-121.0,-101.0,-0.035204648788133425
134,-123.0,-121.0,-99.0,-0.025830825874345098
135,-123.0,-121.0,-97.0,-0.019231256810521888
136,-123.0,-121.0,-95.0,-0.014526317194210131
137,-123.0,-121.0,-93.0,-0.011134651332838613
138,-123.0,-121.0,-91.0,-0.008664048401976696
139,-123.0,-121.0,-89.0,-0.0068458010836038585
140,-123.0,-121.0,-87.0,-0.0054936232391051484
141,-123.0,-121.0,-85.0,-0.004477136180585234
142,-123.0,-121.0,-83.0,-0.003704355470251261
143,-123.0,-121.0,-81.0,-0.0031099200100356966
144,-123.0,-121.0,-79.0,-0.0026470761637421153
145,-123.0,-121.0,-77.0,-0.0022821635188246397
146,-123.0,-121.0,-75.0,-0.001990790820766447
147,-123.0,-121.0,-73.0,-0.0017551661559316034
148,-123.0,-121.0,-71.0,-0.001562222066540983
149,-123.0,-121.0,-69.0,-0.001402291909985351
150,-123.0,-121.0,-67.0,-0.0012681707129569876
151,-123.0,-121.0,-65.0,-0.001154445598851285
152,-123.0,-121.0,-63.0,-0.0010570161131108757
153,-123.0,-121.0,-61.0,-0.0009727489218872842
154,-123.0,-121.0,-59.0,-0.0008992280098152373
155,-123.0,-121.0,-57.0,-0.0008345730425219633
156,-123.0,-121.0,-55.0,-0.0007773065944995522
157,-123.0,-121.0,-53.0,-0.0007262565613572886
158,-123.0,-121.0,-51.0,-0.0006804840197258029
159,-123.0,-121.0,-49.0,-0.0006392295776516815
160,-123.0,-121.0,-47.0,-0.0006018732244326835
161,-123.0,-121.0,-45.0,-0.0005679040846887431
162,-123.0,-121.0,-43.0,-0.0005368974760767004
163,-123.0,-121.0,-41.0,-0.0005084973813582853
164,-123.0,-121.0,-39.0,-0.0004824029560643768
165,-123.0,-121.0,-37.0,-0.0004583580607320295
166,-123.0,-121.0,-35.0,-0.0004361430724467777
167,-123.0,-121.0,-33.0,-0.0004155684230066764
168,-123.0,-121.0,-31.0,-0.0003964694507483518
169,-123.0,-121.0,-29.0,-0.0003787022541291221
