,A,M,N,V/I
105,-125.0,-37.0,-35.0,0.0004231647406370033
106,-125.0,-35.0,-33.0,0.0004039482592808029
107,-125.0,-33.0,-31.0,0.0003860876769519496
108,-125.0,-31.0,-29.0,0.00036946479260907203
109,-125.0,-29.0,-27.0,0.00035397961920935125
110,-125.0,-27.0,-25.0,0.00033954980918227476
111,-125.0,-25.0,-23.0,0.0003261115873150165
112,-125.0,-23.0,-21.0,0.00031362324665126437
113,-125.0,-21.0,-19.0,0.000302073729135037
114,-125.0,-19.0,-17.0,0.00029150227229971654
115,-125.0,-17.0,-15.0,0.0002820431078497214
116,-125.0,-15.0,-13.0,0.00027402582043028686
117,-125.0,-13.0,-11.0,0.0002681820634878769
118,-125.0,-11.0,-9.0,0.0002659242163989481
119,-125.0,-9.0,-7.0,0.00026878184500534787
120,-125.0,-7.0,-5.0,0.0002732931703370075
121,-125.0,-5.0,-3.0,0.0002654682070157965
122,-125.0,-3.0,-1.0,0.00024146790101902543
123,-125.0,-1.0,1.0,0.00021415185059832538
124,-123.0,-121.0,-119.0,4.032396685504694
125,-123.0,-119.0,-117.0,1.30384144240841
126,-123.0,-117.0,-115.0,0.6301941123537678
127,-123.0,-115.0,-113.0,0.35876455008351515
128,-123.0,-113.0,-111.0,0.22245094702873747
129,-123.0,-111.0,-109.0,0.14542655164970575
130,-123.0,-109.0,-107.0,0.09857516959092194
131,-123.0,-107.0,-105.0,0.06860436286307736
132,-123.0,-105.0,-103.0,0.048735637322542325
133,-123.0,-103.0,-101.0,0.03521940653386513
134,-123.0,-101.0,-99.0,0.025845680414745192
135,-123.0,-99.0,-97.0,0.01924606528696117
136,-123.0,-97.0,-95.0,0.014540982511523401
137,-123.0,-95.0,-93.0,0.011149108517414491
138,-123.0,-93.0,-91.0,0.00867825502877019
139,-123.0,-91.0,-89.0,0.006859730542607592
140,-123.0,-89.0,-87.0,0.0055072599885846105
141,-123.0,-87.0,-85.0,0.004490472394362628
142,-123.0,-85.0,-83.0,0.0037173886659108285
143,-123.0,-83.0,-81.0,0.003122651369258593
144,-123.0,-81.0,-79.0,0.0026595093422956614
145,-123.0,-79.0,-77.0,0.0022943038038431424
146,-123.0,-77.0,-75.0,0.0020026445349565353
147,-123.0,-75.0,-73.0,0.0017667402377741226
148,-123.0,-73.0,-71.0,0.0015735237762720816
149,-123.0,-71.0,-69.0,0.0014133286257719604
150,-123.0,-69.0,-67.0,0.0012789497920718505
151,-123.0,-67.0,-65.0,0.001164974286082851
152,-123.0,-65.0,-63.0,0.001067301484016129
153,-123.0,-63.0,-61.0,0.0009827978524503851
154,-123.0,-61.0,-59.0,0.0009090471670730356
155,-123.0,-59.0,-57.0,0.0008441688931055159
156,-123.0,-57.0,-55.0,0.0007866854300874228
157,-123.0,-55.0,-53.0,0.0007354245419694191
158,-123.0,-53.0,-51.0,0.0006894472378215569
159,-123.0,-51.0,-49.0,0.0006479941483574121
160,-123.0,-49.0,-47.0,0.0006104454101804775
161,-123.0,-47.0,-45.0,0.0005762904664392277
162,-123.0,-45.0,-43.0,0.0005451051885882463
163,-123.0,-43.0,-41.0,0.0005165344373103536
164,-123.0,-41.0,-39.0,0.0004902786942096865
165,-123.0,-39.0,-37.0,0.00046608376812258545
166,-123.0,-37.0,-35.0,0.00044373285253113473
167,-123.0,-35.0,-33.0,0.00042304041409233287
168,-123.0,-33.0,-31.0,0.0004038475503879632
169,-123.0,-31.0,-29.0,0.0003860185890305484
170,-123.0,-29.0,-27.0,0.00036943883589990456
171,-123.0,-27.0,-25.0,0.0003540135606490205
172,-123.0,-25.0,-23.0,0.00033966862352029226
173,-123.0,-23.0,-21.0,0.00032635381039188005
174,-123.0,-21.0,-19.0,0.0003140514599980597
175,-123.0,-19.0,-17.0,0.0003027965394456385
176,-123.0,-17.0,-15.0,0.00029272258623039976
177,-123.0,-15.0,-13.0,0.0002841651008466811
178,-123.0,-13.0,-11.0,0.00027787478446736173
179,-123.0,-11.0,-9.0,0.00027530556382631896
180,-123.0,-9.0,-7.0,0.00027803560151537683
181,-123.0,-7.0,-5.0,0.0002825006039703405
182,-123.0,-5.0,-3.0,0.00027427404888040116
183,-123.0,-3.0,-1.0,0.0002493895352499217
184,-123.0,-1.0,1.0,0.00022110474632748046
185,-123.0,1.0,3.0,0.00019792122440996998
186,-121.0,-119.0,-117.0,4.032408515641375
187,-121.0,-117.0,-115.0,1.3038497001769385
188,-121.0,-115.0,-113.0,0.6301997879105039
189,-121.0,-113.0,-111.0,0.3587683959118193
190,-121.0,-111.0,-109.0,0.22245350892761273
191,-121.0,-109.0,-107.0,0.1454282168454567
192,-121.0,-107.0,-105.0,0.09857621008967199
193,-121.0,-105.0,-103.0,0.06860496901159485
194,-121.0,-103.0,-101.0,0.04873594222497021
195,-121.0,-101.0,-99.0,0.03521950332853352
196,-121.0,-99.0,-97.0,0.02584563435078438
197,-121.0,-97.0,-95.0,0.019245922127835158
198,-121.0,-95.0,-93.0,0.014540774378786009
199,-121.0,-93.0,-91.0,0.011148857959632108
200,-121.0,-91.0,-89.0,0.00867797786098043
201,-121.0,-89.0,-87.0,0.0068594378330833206
202,-121.0,-87.0,-85.0,0.005506959452882543
203,-121.0,-85.0,-83.0,0.004490169376244801
204,-121.0,-83.0,-81.0,0.0037170868294741574
205,-121.0,-81.0,-79.0,0.0031223531885892428
206,-121.0,-79.0,-77.0,0.002659216448760618
207,-121.0,-77.0,-75.0,0.002294017233014728
208,-121.0,-75.0,-73.0,0.0020023649026089663
