# Declination : 7.79138 Degrees
# Inclination : 65.97 Degrees
# Total Field : 51_345.6 nT
Easting (m),Northing (m),Elevation (m),Total Magnetic Anomaly (nT),Standard Deviation (nT)
-1200.0,-1200.0,100.0,-1.962932420419525,5.0
-1200.0,-1100.0,100.0,-2.2919712923122466,5.0
-1200.0,-1000.0,100.0,-4.493748386308752,5.0
-1200.0,-900.0,100.0,-5.009528901006921,5.0
-1200.0,-800.0,100.0,4.41062225320629,5.0
-1200.0,-700.0,100.0,0.8888358868428634,5.0
-1200.0,-600.0,100.0,-7.839543820857568,5.0
-1200.0,-500.0,100.0,-8.605320541697768,5.0
-1200.0,-400.0,100.0,-3.2997662853943943,5.0
-1200.0,-300.0,100.0,-15.012706222301123,5.0
-1200.0,-200.0,100.0,-26.80990258285477,5.0
-1200.0,-100.0,100.0,-21.060145702910987,5.0
-1200.0,0.0,100.0,-21.256254491852552,5.0
-1200.0,100.0,100.0,-28.036150932012543,5.0
-1200.0,200.0,100.0,-31.742252333111942,5.0
-1200.0,300.0,100.0,-32.10230990822926,5.0
-1200.0,400.0,100.0,-47.85188637495787,5.0
-1200.0,500.0,100.0,-60.42538118008349,5.0
-1200.0,600.0,100.0,-57.83196866520297,5.0
-1200.0,700.0,100.0,-58.704857928126465,5.0
-1200.0,800.0,100.0,-53.9296205308966,5.0
-1200.0,900.0,100.0,-40.85558949512411,5.0
-1200.0,1000.0,100.0,-41.71235973724838,5.0
-1200.0,1100.0,100.0,-33.06090886847074,5.0
-1200.0,1200.0,100.0,-28.371142284490485,5.0
-1200.0,1300.0,100.0,-34.44021446374763,5.0
-1200.0,1400.0,100.0,-17.670879143124452,5.0
-1200.0,1500.0,100.0,-18.98576150148038,5.0
-1100.0,-1500.0,100.0,1.6077080494380738,5.0
-1100.0,-1400.0,100.0,-8.44976040857777,5.0
-1100.0,-1300.0,100.0,0.43635382909619214,5.0
-1100.0,-1200.0,100.0,2.036252349323167,5.0
-1100.0,-1100.0,100.0,0.33119502220133423,5.0
-1100.0,-1000.0,100.0,-11.734986944801664,5.0
-1100.0,-900.0,100.0,-1.5727457524342183,5.0
-1100.0,-800.0,100.0,-2.383870420221964,5.0
-1100.0,-700.0,100.0,-12.85991626325278,5.0
